year,month,state,location,food,ingredient,species,serotype/genotype,status,illnesses,hospitalizations,fatalities
1998,January,California,Restaurant,Multiple Foods,Fin Fish,Norovirus genogroup I,Unknown,Confirmed,20,0.0,0.0
1998,January,California,Restaurant,Custard,Fin Fish,Norovirus genogroup I,Unknown,Confirmed,112,0.0,0.0
1998,January,California,Restaurant,Multiple Foods,Fin Fish,Norovirus genogroup I,Unknown,Confirmed,35,0.0,0.0
1998,January,California,Restaurant,"Fish, Ahi",Fin Fish,Scombroid toxin,Unknown,Confirmed,4,0.0,0.0
1998,January,California,Private Home/Residence,"Lasagna, Unspecified; Eggs, Other",Fin Fish,Salmonella enterica,Enteritidis,Confirmed,26,3.0,0.0
1998,January,California,Restaurant,Multiple Foods,Fin Fish,Shigella boydii,Unknown,Confirmed,25,3.0,0.0
1998,January,California,Restaurant,Multiple Foods,Fin Fish,Norovirus genogroup I,Unknown,Confirmed,8,0.0,0.0
1998,January,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",Fin Fish,Salmonella enterica,Enteritidis,Confirmed,4,3.0,0.0
1998,January,Colorado,Restaurant,"Salad, Unspecified",Fin Fish,Virus,Unknown,Suspected,21,0.0,0.0
1998,January,Colorado,Restaurant,"Peppers, Chili",Fin Fish,Virus,Unknown,Suspected,3,0.0,0.0
1998,January,Colorado,Grocery Store,Multiple Foods,Fin Fish,Virus,Unknown,Suspected,8,0.0,0.0
1998,January,Colorado,Restaurant,Multiple Foods,Fin Fish,Virus,Unknown,Suspected,28,0.0,0.0
1998,January,Colorado,Private Home/Residence,Multiple Foods,Fin Fish,Virus,Unknown,Suspected,10,0.0,0.0
1998,January,Florida,Restaurant,Chicken Salad,Fin Fish,Norovirus genogroup I,Unknown,Confirmed,2,0.0,0.0
1998,January,Florida,Restaurant,"Hot Dog, Kielbasa",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,3,0.0,0.0
1998,January,Florida,Restaurant,"Ethnic Style, Unspecified",Fin Fish,Clostridium perfringens,Unknown,Suspected,3,0.0,0.0
1998,January,Florida,Restaurant,Greek Salad,Fin Fish,Norovirus genogroup I,Unknown,Suspected,2,0.0,0.0
1998,January,Florida,Restaurant,"Ground Beef, Cheeseburger",Fin Fish,Staphylococcus aureus,Unknown,Suspected,2,0.0,0.0
1998,January,Florida,Restaurant,"Pasta, Unspecified",Fin Fish,Bacillus cereus,Unknown,Suspected,2,0.0,0.0
1998,January,Florida,Restaurant,"Sauces, Unspecified; Tuna, Unspecified",Fin Fish,Scombroid toxin,Unknown,Suspected,2,2.0,0.0
1998,January,Florida,Restaurant,"Sandwich, Chicken",Fin Fish,Campylobacter unknown,Unknown,Confirmed,3,1.0,0.0
1998,January,Florida,Restaurant,"Chicken, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,3,0.0,0.0
1998,January,Florida,Restaurant,"Chicken, Fried",Fin Fish,Bacillus cereus,Unknown,Suspected,5,0.0,0.0
1998,January,Florida,Restaurant,"Doughnuts, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,3,0.0,0.0
1998,January,Florida,Restaurant,"Tomato Sauce, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,5,0.0,0.0
1998,January,Florida,Restaurant,"Steak, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,2,0.0,0.0
1998,January,Florida,Restaurant,Unknown Food,Fin Fish,Norovirus genogroup I,Unknown,Confirmed,2,0.0,0.0
1998,January,Florida,Restaurant,"Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,2,1.0,0.0
1998,January,Florida,Private Home/Residence,"Turkey, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,18,5.0,0.0
1998,January,Florida,Grocery Store,"Pork, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,2,0.0,0.0
1998,January,Florida,Restaurant,"Salmon, Raw; Tuna, Raw",Fin Fish,Campylobacter unknown,Unknown,Suspected,3,0.0,0.0
1998,January,Guam,Private Home/Residence,"Other Milk, Unspecified",Fin Fish,Norovirus genogroup I,Unknown,Confirmed,2,0.0,0.0
1998,January,Guam,Restaurant,"Chicken, Unspecified",Fin Fish,Vibrio parahaemolyticus,Unknown,Confirmed,47,0.0,0.0
